['US', 351.07, 19.43, 6.65, 30, -6.7, -16.0, -8.0],
['UCL', 330.51, 12.86, 6.96, 65, -6.8, -19.3, -5.7],
['LCC', 301.54, 6.74, 8.38, 45, -8.2, -18.6, -6.4],
['TWA', 291.61, 20.22, 16.46, 66, -9.7, -17.1, -4.8],                                                Ctrl+f και αναζητηση (κολλητα) 
['Tuc-Hor', 296.57, -51.72, 23.09, 100, -10.1, -20.7, -2.5],
['β Pic-Cap', 330.95, -55.54, 54.97, 113, -10.8, -15.9, -9.8], 
['ε Cha', 300.43, -15.08, 10.41, 55, -8.6, -18.6, -9.3],
['η Cha', 292.42, -21.45, 10.76, 13, -12.2, -18.1, -10.1],
['HD141569', 7.4, 39.5, 9.94, 31, -5.4, -15.6, -4.4],
['Ext,R CrA', 359.41, -17.19, 9.85, 62, -0.1, -14.8, -10.1],
['AB Dor', 146.31, -59.0, 71.43, 85, -7.4, -27.4, -12.9], 
['Her-Lyr', 180.0, 68.2, 52.1, 26, -13.6, -22.7, -7.9], 
['SgrOB5', 0.0, -1.19, 0.41, 221, -6.5, 1.2, 1.3],
['NGC6530', 6.07, -1.33, 0.76, 11, -12.1, -16.2, -14.3], 
['SgrOB1', 7.58, -0.78, 0.65, 207, -8.0, -12.8, -9.5], 
['SgrOB7', 10.71, -1.52, 0.54, 58, -7.4, -3.2, -18.6], 
['SgrOB4', 12.1, -0.99, 0.52, 54, 1.7, -6.2, -7.3],
['SgrOB6a', 14.18, 1.28, 0.62, 34, -10.8, -2.8, -16.0],
['M17', 15.04, -0.68, 0.55, 19, -20.5, 9.9, -21.6],
['SerOB1', 16.73, 0.0, 1.88, 71, -4.3, -3.1, -2.1], 
['NGC6611', 16.95, 0.79, 0.58, 13, 17.2, 5.5, -5.6],
['SctOB3', 17.32, -0.84, 0.74, 33, 7.4, -3.7, -3.9],
['SerOB2', 18.23, 1.66, 0.63, 61, -1.6, -6.9, -10.7], 
['NGC6604', 18.25, 1.71, 0.59, 15, 11.9, -5.2, 1.5], 
['SctOB2', 23.21, -0.53, 0.63, 61, -8.7, -7.8, -4.4], 
['Tr35', 28.28, 0.01, 0.83, 2, 4.1, -17.6, -1.0], 
['Col359', 29.66, 12.72, 2.22, 17, 6.5, -15.8, -10.8], 
['IC4665', 30.62, 17.11, 2.6, 13, 2.0, -18.7, -9.7],
['VulOB1', 59.41, -0.12, 0.63, 230, 34.4, -11.3, -0.8], 
['NGC6823', 59.4, -0.15, 0.43, 68, 63.9, -18.0, -0.8], 
['VulOB4', 60.66, -0.17, 1.25, 35, 12.1, -10.2, -7.2],
['CygOB3', 72.81, 2.0, 0.43, 106, 77.6, -32.9, -13.6], 
['NGC6871', 72.65, 2.05, 0.64, 13, 49.5, -25.8, -10.4], 
['Byurakan1', 72.75, 1.75, 0.63, 12, 48.9, -24.0, -3.4],
['Byurakan2', 72.75, 1.34, 0.58, 11, 49.8, -38.4, -3.3],
['NGC6883', 73.28, 1.18, 0.48, 8, 68.8, -31.3, -4.6],
['CygOB1', 75.9, 1.12, 0.59, 142, 45.4, -27.0, -6.8],
['CygOB8', 78.02, 3.3, 0.81, 78, 30.1, -32.4, 3.2],
['CygOB9', 78.19, 1.47, 1.04, 79, 26.5, -22.7, -6.8],
['CygOB2', 80.22, 0.8, 0.67, 31, 28.5, -33.0, -11.4],
['CygOB4', 82.8, -7.5, 1.25, 43, 1.9, -6.0, -4.2],
['CygOB7', 89.12, 0.0, 1.39, 163, 10.8, -7.3, -3.8], 
['Tr37', 99.18, 3.78, 1.2, 19, 19.0, -12.0, -6.4],
['LacOB1', 100.63, -13.22, 2.72, 65, 6.6, -13.3, -2.7],
['CepOB2', 102.09, 4.42, 1.63, 105, 16.1, -18.2, -3.1],
['CepOB1', 104.19, -1.01, 0.65, 322, 41.7, -47.2, -1.9],
['CepOB6', 105.77, 0.21, 3.7, 40, -14.2, -24.8, -5.7],
['NGC7380', 107.1, -0.88, 0.45, 19, 51.3, -19.9, -19.8],
['CepOB3', 110.51, 2.59, 1.19, 29, 15.6, -17.1, -7.7],
['CasOB2', 112.13, 0.02, 0.48, 167, 58.2, -24.9, -1.0],
['CasOB5', 116.18, -0.33, 0.5, 206, 49.6, -24.1, -18.6],
['CepOB4b', 117.9, 5.32, 1.51, 9, 9.8, -5.7, -3.3],
['CasOB4', 119.84, 0.14, 0.36, 226, 47.8, -28.3, -17.0],
['CasOB14', 120.4, 0.8, 1.1, 60, 1.6, -16.5, 5.0],
['CasOB7', 122.79, 1.38, 0.55, 102, 34.3, -21.8, -8.8],
['IC1590', 123.12, -6.24, 0.42, 9, 34.1, -24.1, -11.4],
['CasOB1', 124.8, -1.7, 0.5, 122, 39.7, -24.3, -13.7],
['NGC457', 126.65, -4.38, 0.41, 22, 42.7, -9.6, -23.1],
['CasOB8', 129.19, -1.2, 0.52, 43, 30.5, -17.5, -8.3],
['PerOB1', 134.7, -3.1, 0.43, 307, 29.2, -31.1, -16.0],
['hPer', 134.64, -3.72, 0.48, 29, 28.8, -28.3, -8.6],
['χPer', 135.01, -3.6, 0.43, 26, 30.5, -24.3, -9.8],
['CasB6', 135.12, 0.76, 0.42, 234, 33.8, -24.1, -14.1],
['IC1805', 134.73, 0.92, 0.42, 17, 40.9, -25.5, -30.3],
['CamOB1', 141.24, 0.91, 1.13, 253, 6.7, -8.7, -7.2],
['NGC1502', 143.67, 7.66, 1.22, 6, 15.3, -14.4, -1.3],
['CamOB3', 146.95, 2.88, 0.29, 122, 9.1, -37.4, 13.5],
['αPer', 149.15, -6.36, 5.65, 15, -12.8, -25.1, -7.1],
['PerOB2', 159.62, -16.77, 3.14, 41, -21.5, -5.5, -9.1],
['Cas-Tauc', 159.95, -12.51, 5.68, 215, -14.1, -19.7, -6.8],
['Pleiades', 166.63, -23.47, 7.69, 15, -6.4, -26.8, -13.6],
['AurOB2', 173.25, -0.18, 0.37, 206, 1.6, -0.2, -11.5],
['NGC1893', 173.58, -1.68, 0.3, 23, -1.5, -41.0, -28.9],
['AurOB1', 173.88, 0.19, 1.69, 120, -1.0, -8.4, -5.6],
['NGC2129', 186.6, 0.14, 0.45, 3, -8.4, -37.0, -7.9],
['GemOB1', 189.0, 2.3, 0.49, 196, -14.5, -16.9, -10.2],
['MonOB1', 202.07, 1.07, 1.74, 125, -19.7, -13.6, -5.3],
['NGC2264', 202.95, 2.2, 1.52, 17, -12.6, -16.2, -6.4],
['MonOB2', 206.23, -1.02, 0.83, 179, -22.1, -4.5, -7.2],
['NGC2244', 206.31, -2.08, 0.69, 16, -26.8, -4.6, -7.8],
['OriOB1', 206.96, -17.53, 2.43, 165, -20.9, -12.1, -6.7],
['λOri', 195.27, -12.1, 2.28, 8, -27.5, -14.4, -8.1],
['NGC1976', 209.01, -19.38, 2.42, 6, -23.2, -16.4, -7.0],
['MonR2d', 213.91, -11.9, 1.2, 7, -11.3, 2.2, -11.1],
['NGC2232', 214.6, -7.41, 2.74, 8, -11.5, -10.7, -9.9],
['MonOB3e', 217.65, -0.43, 0.41, 47, -31.6, -24.4, -0.3],
['CMaOB1', 224.6, -1.5, 0.61, 102, -40.3, -4.6, -21.3],
